Date,Place,Latitude,Longitude,Location
24/06/2008,Angola,-11.2027,17.8739,Angola
11/04/2007,Beitbridge,-22.2146,30.003,Zimbabwe
11/04/2007,Beitbridge,-22.2146,30.003,Zimbabwe
19/05/2007,Beitbridge,-22.2146,30.003,Zimbabwe
19/05/2007,Beitbridge,-22.2146,30.003,Zimbabwe
20/05/2007,Beitbridge,-22.2146,30.003,Zimbabwe
20/05/2007,Beitbridge,-22.2146,30.003,Zimbabwe
09/08/2007,Beitbridge,-22.2146,30.003,Zimbabwe
09/08/2007,Beitbridge,-22.2146,30.003,Zimbabwe
12/08/2007,Beitbridge,-22.2146,30.003,Zimbabwe
12/08/2007,Beitbridge,-22.2146,30.003,Zimbabwe
05/11/2007,Beitbridge,-22.2146,30.003,Zimbabwe
25/11/2007,Beitbridge,-22.2146,30.003,Zimbabwe
28/11/2007,Beitbridge,-22.2146,30.003,Zimbabwe
26/12/2007,Beitbridge,-22.2146,30.003,Zimbabwe
26/12/2007,Beitbridge,-22.2146,30.003,Zimbabwe
22/02/2008,Beitbridge,-22.2146,30.003,Zimbabwe
02/01/2009,Beitbridge,-22.2146,30.003,Zimbabwe
19/02/2009,Beitbridge,-22.2146,30.003,Zimbabwe
19/02/2009,Beitbridge,-22.2146,30.003,Zimbabwe
22/02/2009,Beitbridge,-22.2146,30.003,Zimbabwe
22/02/2009,Beitbridge,-22.2146,30.003,Zimbabwe
01/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
01/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
08/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
21/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
24/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
24/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
28/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
28/03/2009,Beitbridge,-22.2146,30.003,Zimbabwe
01/05/2009,Beitbridge,-22.2146,30.003,Zimbabwe
01/05/2009,Beitbridge,-22.2146,30.003,Zimbabwe
29/05/2009,Beitbridge,-22.2146,30.003,Zimbabwe
07/06/2009,Beitbridge,-22.2146,30.003,Zimbabwe
07/06/2009,Beitbridge,-22.2146,30.003,Zimbabwe
13/06/2009,Beitbridge,-22.2146,30.003,Zimbabwe
13/06/2009,Beitbridge,-22.2146,30.003,Zimbabwe
02/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
02/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
03/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
03/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
17/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
17/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
20/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
24/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
24/10/2009,Beitbridge,-22.2146,30.003,Zimbabwe
17/03/2010,Beitbridge,-22.2146,30.003,Zimbabwe
18/04/2010,Beitbridge,-22.2146,30.003,Zimbabwe
28/04/2010,Beitbridge,-22.2146,30.003,Zimbabwe
28/04/2010,Beitbridge,-22.2146,30.003,Zimbabwe
01/05/2010,Beitbridge,-22.2146,30.003,Zimbabwe
01/05/2010,Beitbridge,-22.2146,30.003,Zimbabwe
17/05/2010,Beitbridge,-22.2146,30.003,Zimbabwe
13/09/2010,Beitbridge,-22.2146,30.003,Zimbabwe
13/09/2010,Beitbridge,-22.2146,30.003,Zimbabwe
17/09/2010,Beitbridge,-22.2146,30.003,Zimbabwe
17/09/2010,Beitbridge,-22.2146,30.003,Zimbabwe
11/11/2010,Beitbridge,-22.2146,30.003,Zimbabwe
14/11/2010,Beitbridge,-22.2146,30.003,Zimbabwe
14/11/2010,Beitbridge,-22.2146,30.003,Zimbabwe
01/12/2010,Beitbridge,-22.2146,30.003,Zimbabwe
17/12/2010,Beitbridge,-22.2146,30.003,Zimbabwe
17/12/2010,Beitbridge,-22.2146,30.003,Zimbabwe
26/12/2010,Beitbridge,-22.2146,30.003,Zimbabwe
26/12/2010,Beitbridge,-22.2146,30.003,Zimbabwe
20/04/2011,Beitbridge,-22.2146,30.003,Zimbabwe
20/04/2011,Beitbridge,-22.2146,30.003,Zimbabwe
27/04/2011,Beitbridge,-22.2146,30.003,Zimbabwe
27/04/2011,Beitbridge,-22.2146,30.003,Zimbabwe
26/08/2011,Beitbridge,-22.2146,30.003,Zimbabwe
26/08/2011,Beitbridge,-22.2146,30.003,Zimbabwe
28/08/2011,Beitbridge,-22.2146,30.003,Zimbabwe
28/08/2011,Beitbridge,-22.2146,30.003,Zimbabwe
14/09/2011,Beitbridge,-22.2146,30.003,Zimbabwe
14/09/2011,Beitbridge,-22.2146,30.003,Zimbabwe
22/10/2011,Beitbridge,-22.2146,30.003,Zimbabwe
