Date,Place,Latitude,Longitude
04/11/2007,Beitbridge,-22.2146,30.003
04/11/2007,Beitbridge,-22.2146,30.003
05/19/2007,Beitbridge,-22.2146,30.003
05/19/2007,Beitbridge,-22.2146,30.003
05/20/2007,Beitbridge,-22.2146,30.003
05/20/2007,Beitbridge,-22.2146,30.003
06/20/2007,O.R. Tambo,-26.1372,28.2411
07/06/2007,O.R. Tambo,-26.1372,28.2411
07/06/2007,Roissy Airport (Paris),49.0097,2.5479
08/06/2007,Hosea Kutaro Airport,-22.5649,17.0805
08/06/2007,O.R. Tambo,-26.1372,28.2411
08/08/2007,Hosea Kutaro Airport,-22.5649,17.0805
08/08/2007,O.R. Tambo,-26.1372,28.2411
08/09/2007,Beitbridge,-22.2146,30.003
08/09/2007,Beitbridge,-22.2146,30.003
08/12/2007,Beitbridge,-22.2146,30.003
08/12/2007,Beitbridge,-22.2146,30.003
09/05/2007,O.R. Tambo,-26.1372,28.2411
09/06/2007,Chicago,41.8781,-87.6298
09/19/2007,O.R. Tambo,-26.1372,28.2411
10/28/2007,Lusaka International Airport,-15.3308,28.4583
10/28/2007,O.R. Tambo,-26.1372,28.2411
11/01/2007,Lusaka International Airport,-15.3308,28.4583
11/01/2007,O.R. Tambo,-26.1372,28.2411
11/05/2007,Beitbridge,-22.2146,30.003
11/25/2007,Beitbridge,-22.2146,30.003
11/28/2007,Beitbridge,-22.2146,30.003
12/09/2007,O.R. Tambo,-26.1372,28.2411
12/13/2007,Groblersbrug,-22.5408,29.3807
12/13/2007,Martins Drift,-22.2817,21.6802
12/20/2007,Springs Home Affairs,-26.2604,28.4344
12/26/2007,Beitbridge,-22.2146,30.003
12/26/2007,Beitbridge,-22.2146,30.003
02/22/2008,Beitbridge,-22.2146,30.003
03/08/2008,Kamuzu International Airport,-13.7893,33.7804
03/08/2008,O.R. Tambo,-26.1372,28.2411
03/19/2008,Kamuzu International Airport,-13.7893,33.7804
03/19/2008,O.R. Tambo,-26.1372,28.2411
03/19/2008,O.R. Tambo,-26.1372,28.2411
06/24/2008,Angola,-11.2027,17.8739
12/06/2008,Mavalane,-25.92,32.5742
12/06/2008,O.R. Tambo,-26.1372,28.2411
12/11/2008,Mavalane,-25.92,32.5742
12/11/2008,O.R. Tambo,-26.1372,28.2411
01/02/2009,Beitbridge,-22.2146,30.003
02/07/2009,O.R. Tambo,-26.1372,28.2411
02/08/2009,Geneve,46.2044,6.1432
02/12/2009,Frankfurt,50.1109,8.6821
02/13/2009,O.R. Tambo,-26.1372,28.2411
02/19/2009,Beitbridge,-22.2146,30.003
02/19/2009,Beitbridge,-22.2146,30.003
02/22/2009,Beitbridge,-22.2146,30.003
02/22/2009,Beitbridge,-22.2146,30.003
03/01/2009,Beitbridge,-22.2146,30.003
